EntidadProductora
1,Hospital del sarare
OBJETO
2,Inventario documental
3,Transferencia documental



UNIDAD 

2,Gerencia,3
3,Subgerencia administrativa,3
4,Subgerencia cientifica,3
5,Subgerencia de talento humano,3




OFICINA 
2,Subgerencia Talento humano,2
3,Gerencia - Dirección,2
4,Planeación,2
5,Gestión de mercadeo y venta de servicios,2
6,Comunicación e imagen corporativa,2
7,Talento Humano,2
8,Gestión de la Calidad,2
9,Gestión y administración del riesgo,2
10,Control Interno,2
11,Gestión de Seguridad y Salud en el trabajo,5
12,Gestión de Docencia Servicio e Investigación,5
13,Control Disciplinario Interno,5
14,Gestión Ambiental,3
15,Gestión del Presupuesto,3
16,Gestión de la Contabilidad,3
17,Gestión de Tesorería,3
18,Gestión del Gasto,3
19,Gestión de cartera,3
20,Facturación,3
21,Cuentas Médicas y Gestión de Glosas,3
22,Defensa Jurídica,3
23,Contratación,3
24,Estadísticas,3
25,Unidad de Vigilancia Epidemiológica,3
26,Gestión de las Tecnologías y Sistemas de Información,3
27,Gestión Documental (Archivo central y Unidad de Correspondencia),3
28,Historia Clínica,3
29,Almacén/Gestión de insumos, suministros, inventario y activos.,3
30,Gestión de redes de Tecnología y equipos informáticos,3
31,Gestión del Mantenimiento de la infraestructura Física Hospitalaria, equipos industriales y vehículos,3
32,Gestión Biomédica,3
33,Servicios Básicos,3
34,Gestión de la Seguridad del paciente,4
35,Prevención y control de IAAS,4
36,Humanización en los servicios de salud,4
37,Trabajo Social,4
38,Sistema de Atención al Usuario,4
39,Gestión del Riesgo en Salud, Rutas de Atención Integral PyM. (servicio de vacunación, mamografías, servicio de tomas de muestra de cuello uterino y ginecológicas),4
40,Consulta General (Servicios: Medicina General, Odontología General y radiología Odontológica),4
41,Consulta Complementaria (Nutrición, Psicología, Optometría, Audiología),4
42,Consulta Especializada y Subespecialidad (en todas sus modalidades de prestación intramural, extramural, telemedicina),4
43,Internación Adulto (Servicios: Hospitalización Medicina Interna, Hospitalización Quirúrgicos),4
44,Unidad de Cuidado Critico (Intermedio e Intensivo - Adulto),4
45,Internación Pediátrico (Servicio: Hospitalización Pediatría),4
46,Internación Neonatal (Servicio: Unidad Básica Neonatal, UCIM y UCI Neonatal),4
47,Obstetricia y Atención del Parto. (Servicio: Urgencias Maternas, Atención del parto y Hospitalización maternidad),4
48,Urgencias y Procedimientos,4
49,Referencia y Contrarreferencia,4
50,Servicio de Cirugía,4
51,Servicio de Esterilización,4
52,Servicio de Laboratorio Clínico (Servicio: Toma de Muestra de Laboratorio Clínico),4
53,Servicio de Imágenes Diagnosticas (Servicio: Tomografía, Radiología, Ecografía),4
54,Banco de Sangre y Servicio de Gestión pre-transfusional.,4
55,Servicio Farmacéutico.,4
56,Servicio de Terapias. (Servicios: Terapia Física, Respiratoria, Ocupacional y Fonoaudiología y/o terapia de lenguaje),4


SERIE

10036,1,ACCIONES CONSTITUCIONALES
10037,2,ACTAS
10038,3,CIRCULARES
10039,4,COMUNICACIONES OFICIALES
10040,5,COMPROBANTES
10041,6,CONTRATO
10042,7,DEMANDAS
10043,8,ESTADO DE CARTERA
10044,9,FICHAS ESPECIFICAS
10045,10,FICHA TECNICA
10046,11,HISTORIAS
10047,12,HERRAMIENTAS DE GESTION
10048,13,INFORMES
10049,14,INVENTARIOS
10050,15,LIBROS CONTABLES
10051,16,MOVIMIENTOS DE ALMACEN
10052,17,NOMINA
10053,18,ORDEN DE PAGO
10054,19,PETICIONES, QUEJAS, RECLAMOS, SUGERENCIAS Y FELICITACIONES (PQRSF)
10055,20,PLANES
10056,21,POLITICAS DE CALIDAD
10057,22,PROCESOS JUDICIALES
10058,23,PROCESOS DISCIPLINARIOS
10059,24,PROCESOS DE COBRO COACTIVO
10060,25,PROCESO DE COBRO JURIDICO
10061,26,PROGRAMAS
10062,27,PROYECTOS
10063,28,REGISTROS
10064,29,RESOLUCIONES
10065,30,TABLAS DE RETENCION DOCUMENTAL
10066,31,TABLAS DE VALORACION DOCUMENTAL
10067,32,TECNICAS ADMINISTRATIVAS
10068,33,TRANSFERENCIAS DOCUMENTALES

SUBSERIE

10447,1,Tutelas,10036
10448,2,Acta de Comité Administrativo de Gestión ambiental,10037
10449,3,Actas de comité antitrámites y de gobierno en línea,10037
10450,4,Actas comité de archivo,10037
10451,5,Actas de comité de bienestar social e incentivos,10037
10452,6,Acta Comité de Conciliación,10037
10453,7,Actas de Comité Contratación, Facturación, venta de servicios de salud,10037
10454,8,Actas de comité de compras,10037
10455,9,Actas de comisión de personal,10037
10456,10,Actas de Comité Docente - asistencial,10037
10457,11,Actas de comité de ética Hospitalaria,10037
10458,12,Actas de Comité evaluador del proceso de selección de propuestas,10037
10459,13,Actas comité de farmacia y terapéutica,10037
10460,14,Actas de comité Historia Clínica,10037
10461,15,Actas de Comité infecciones intrahospitalarias,10037
10462,16,Actas de comité de inventario,10037
10463,17,Actas de Junta Directiva,10037
10464,18,Actas de Comité Meci-Calidad,10037
10465,19,Actas de comité Paritario Salud Ocupacional - COPASO,10037
10466,20,Actas de Comité de presupuesto,10037
10467,21,Actas de Comité de sostenibilidad del sistema contable,10037
10468,22,Actas de Comité Técnico Científico,10037
10469,23,Actas de comité de Transfusión Sanguínea,10037
10470,24,Actas de Comité de urgencias, emergencias y desastres,10037
10471,25,Actas de Comité de vigilancia epidemiológica COVE,10037
10472,26,Actas de comité de usuarios,10037
10473,27,Circulares Informativas,10038
10474,28,Circulares Normativas,10038
10475,29,Comunicaciones Externas,10039
10476,30,Comunicaciones Internas,10039
10477,31,Comprobantes de Ingreso,10040
10478,32,Comprobantes de egreso,10040
10479,33,Comprobantes de Pago,10040
10480,34,Contrato de arrendamiento,10041
10481,35,Contrato de Comodato,10041
10482,36,Contrato de compraventa,10041
10483,37,Contrato de consultorías,10041
10484,38,Convenio interadministrativo,10041
10485,39,Contrato de Obra,10041
10486,40,Contrato Prestación de Servicio,10041
10487,41,Contrato venta de servicios de salud por Regímenes E.R.P.,10041
10488,42,Demandas laborales,10042
10489,43,Demandas contenciosas administrativas,10042
10490,44,Registros de Cartera (Régimen Contributivo),10043
10491,45,Registros de Cartera (Régimen Subsidiado),10043
10492,46,Registros de Cartera (Régimen vinculado),10043
10493,47,Registros de Cartera (Régimen Aseguradoras),10043
10494,48,Registros de Cartera (Régimen Especial),10043
10495,49,Registros de Cartera (Régimen ARP),10043
10496,50,Registros de Cartera (Régimen IPS),10043
10497,51,Registros de Cartera (Régimen Particular),10043
10498,52,Fichas Epidemiológicas,10044
10499,53,Hoja de vida de equipos de cómputo,10045
10500,54,Hoja de vida de equipos biomédicos,10045
10501,55,Hoja de vida de vehículos,10045
10502,56,Hoja de vida Planta Física,10045
10503,57,Historia Clínica,10046
10504,58,Historia Laboral,10046
10505,59,Registros de Calidad,10047
10506,60,Informe de Gestión,10048
10507,61,Informe a organismos de control,10048
10508,62,Informe a Entidades del Estado,10048
10509,63,Informe Estadístico,10048
10510,64,Informe Financiero,10048
10511,65,Inventarios Individual de Bienes muebles e inmuebles,10049
10512,66,Inventarios documentales,10049
10513,67,Inventario de Licencias Software,10049
10514,68,Libros Auxiliares de Bancos,10050
10515,69,Libros Auxiliares de Caja,10050
10516,70,Libro Mayor y Balance,10050
10517,71,Libros Auxiliares de Contabilidad,10050
10518,72,Entrada de bienes almacén,10051
10519,73,Salidas de bienes de almacén,10051
10520,74,Planillas de pago,10052
10521,00,N/A,10053
10522,00,N/A,10054
10523,75,Plan Anual de Contratación,10055
10524,76,Plan de Compras,10055
10525,77,Plan de Auditoría para el Mejoramiento Continuo (PAMEC),10055
10526,78,Plan de Acción Institucional,10055
10527,79,Plan de Desarrollo,10055
10528,80,Plan de Gestión,10055
10529,81,Plan de Gestión Integral de Cómputo,10055
10530,82,Plan de Gestión Integral de Residuos,10055
10531,83,Plan General de Mantenimiento,10055
10532,84,Plan Hospitalario de Emergencia y Desastres,10055
10533,85,Plan Institucional de Capacitación y Formación,10055
10534,86,Plan de Inversión,10055
10535,87,Plan de Inversión Anual para el Proceso de Salud Ocupacional,10055
10536,88,Plan Operativo Anual,10055
10537,89,Plan Vacacional,10055
10538,90,Políticas de Operación,10056
10539,00,N/A,10057
10540,00,N/A,10057
10541,00,N/A,10057
10542,00,N/A,10057
10543,91,Programa Anual de Caja,10061
10544,92,Programa Anual de Auditoría Interna,10061
10545,93,Programa de Actividades Extramurales,10061
10546,94,Programa Ampliado de Inmunizaciones (PAI),10061
10547,95,Programa de Bienestar Social e Incentivos,10061
10548,96,Programa de las Condiciones de Salud,10061
10549,97,Programa de Calidad Externo de Muestras,10061
10550,98,Programa de Educación Preventiva,10061
10551,99,Programa de Gestión de Calidad,10061
10552,100,Programa de Gestión Archivística Documental,10061
10553,101,Programa de Gestión Ambiental,10061
10554,102,Programa de Higiene y Seguridad Industrial,10061
10555,103,Programa de Medicina Preventiva y del Trabajo,10061
10556,104,Programa Planta de Personal,10061
10557,105,Programa para la Prevención y Atención en Salud,10061
10558,106,Programa de Salud Ocupacional,10061
10559,107,Proyecto de Presupuesto,10062
10560,108,Proyectos de Inversión,10062
10561,109,Registros de Control Gerencia, Auditoría y Calidad,10063
10562,110,Novedades de Personal,10063
10563,00,N/A,10064
10564,00,N/A,10065
10565,00,N/A,10066
10566,00,N/A,10067
10567,111,Transferencias Primarias,10068
10568,112,Transferencias Secundarias,10068
10569,113,Transferencias Externas (Usuarios Externos),10068
10570,1,Actas de comité de Gestión y desempeño,10037
10571,27,Actas de comite de reunión,10037
10572,28,Actas de Comité de Control Interno,10037
